REFERENCE ENTITY|REGION|INDEX CONSTITUENT|TOTAL NUMBER OF CLEARING DEALERS|AVERAGE MONTHLY CLEARING DEALERS|AVERAGE DAILY NOTIONAL (USD EQ)|AVERAGE NUMBER TRADES/DAY|DOC CLAUSE %
ICICI BANK LIMITED|Asia Ex-Japan|Y|8|3.7|2,500,000|1|> 95%
IDBI BANK LIMITED|Asia Ex-Japan|Y|5|2.0|2,500,000|0|> 95%
IMPERIAL BRANDS PLC|Europe|Y|10|7.0|7,500,000|2|> 95%
INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED|Asia Ex-Japan|Y|7|5.3|10,000,000|1|> 95%
INDUSTRIAL BANK OF KOREA|Asia Ex-Japan|Y|6|2.3|2,500,000|0|> 95%
INEOS GROUP HOLDINGS LIMITED|Europe|Y|1|0.3|2,500,000|0|> 95%
INEOS GROUP HOLDINGS S.A.|Europe|Y|7|5.7|7,500,000|2|> 95%
ING BANK N.V.|Europe|Y|7|3.3|5,000,000|0|> 95%
ING GROEP N.V.|Europe|Y|8|5.3|5,000,000|1|> 95%
INGERSOLL-RAND COMPANY|Americas|Y|8|4.3|2,500,000|0|< 5%
INNOGY SE|Europe|Y|9|4.7|7,500,000|1|> 95%
INTERNATIONAL BUSINESS MACHINES CORPORATION|Americas|Y|10|7.3|10,000,000|1|< 5%
INTERNATIONAL GAME TECHNOLOGY PLC|Europe|Y|4|3.0|2,500,000|1|> 95%
INTERNATIONAL LEASE FINANCE CORPORATION|Americas|Y|10|6.7|7,500,000|1|< 5%
INTERNATIONAL PAPER COMPANY|Americas|Y|10|5.3|7,500,000|1|< 5%
INTESA SANPAOLO SPA|Europe|Y|14|11.7|75,000,000|10|> 95%
INTRUM AB|Europe||7|6.3|7,500,000|4|> 95%
INVESTOR AKTIEBOLAG|Europe|Y|1|0.3|2,500,000|0|> 95%
IRELAND|Europe|Y|7|3.7|5,000,000|0|> 95%
IRON MOUNTAIN INCORPORATED|Americas|Y|3|1.3|2,500,000|0|< 5%
ISTAR INC.|Americas|Y|7|3.3|2,500,000|0|< 5%
ITOCHU CORPORATION|Japan|Y|4|2.0|5,000,000|0|> 95%
ITV PLC|Europe|Y|9|6.0|5,000,000|2|> 95%
J SAINSBURY PLC|Europe|Y|10|8.3|7,500,000|1|> 95%
J. C. PENNEY COMPANY, INC.|Americas|Y|10|9.0|50,000,000|25|< 5%
JAGUAR LAND ROVER AUTOMOTIVE PLC|Europe|Y|13|10.3|22,500,000|8|> 95%
JAPAN|Japan|Y|7|4.3|15,000,000|1|> 95%
JAPAN TOBACCO INC.|Japan|Y|4|2.0|2,500,000|0|> 95%
JEMENA LIMITED|Australia NZ|Y|1|0.3|2,500,000|0|> 95%
JETBLUE AIRWAYS CORPORATION|Americas||1|0.3|2,500,000|0|< 5%
JFE HOLDINGS, INC.|Japan|Y|8|5.0|10,000,000|2|> 95%
JOHNSON & JOHNSON|Americas|Y|7|3.0|5,000,000|0|< 5%
JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY|Americas|Y|8|4.7|2,500,000|1|< 5%
JPMORGAN CHASE & CO.|Americas||8|6.0|22,500,000|2|< 5%
K. HOVNANIAN ENTERPRISES, INC.|Americas|Y|7|5.3|10,000,000|2|< 5%
KAJIMA CORPORATION|Japan|Y|5|2.3|2,500,000|0|> 95%
KATE SPADE & COMPANY|Americas||2|0.7|2,500,000|0|< 5%
KAWASAKI HEAVY INDUSTRIES, LTD.|Japan|Y|7|3.7|5,000,000|1|> 95%
KAWASAKI KISEN KAISHA, LTD.|Japan|Y|6|3.7|2,500,000|1|> 95%
KB HOME|Americas|Y|11|11.0|12,500,000|6|< 5%
KEB HANA BANK|Asia Ex-Japan|Y|3|1.7|2,500,000|0|> 95%
KELLOGG COMPANY|Americas||3|1.0|2,500,000|0|< 5%
KERING|Europe|Y|9|6.7|7,500,000|1|> 95%
KIMCO REALTY CORPORATION|Americas||4|1.3|2,500,000|0|< 5%
KINDER MORGAN ENERGY PARTNERS, L.P.|Americas|Y|6|3.3|2,500,000|0|< 5%
KINDER MORGAN, INC.|Americas|Y|10|7.0|7,500,000|1|< 5%
KINGDOM OF BAHRAIN|Europe||8|6.0|5,000,000|1|> 95%
KINGDOM OF BELGIUM|Europe|Y|8|3.3|5,000,000|0|> 95%
KINGDOM OF DENMARK|Europe|Y|1|0.3|2,500,000|0|> 95%
KINGDOM OF MOROCCO|Europe|Y|2|0.7|2,500,000|0|> 95%
KINGDOM OF NORWAY|Europe|Y|3|1.0|5,000,000|0|> 95%
KINGDOM OF SAUDI ARABIA|Europe|Y|12|10.0|50,000,000|4|> 95%
KINGDOM OF SPAIN|Europe|Y|12|9.0|75,000,000|3|> 95%
KINGDOM OF SWEDEN|Europe|Y|0|0.0|2,500,000|0|> 95%
KINGDOM OF THAILAND|Asia Ex-Japan|Y|10|8.0|15,000,000|3|> 95%
KINGDOM OF THE NETHERLANDS|Europe|Y|4|1.7|2,500,000|0|> 95%
KINGFISHER PLC|Europe|Y|5|2.7|2,500,000|0|> 95%
KINTETSU GROUP HOLDINGS CO., LTD.|Japan|Y|4|2.0|2,500,000|0|> 95%
KOBE STEEL, LTD.|Japan|Y|10|8.3|12,500,000|4|> 95%
KOHL'S CORPORATION|Americas|Y|12|8.3|22,500,000|3|< 5%
KOMATSU LTD.|Japan|Y|3|1.7|2,500,000|0|> 95%
KONINKLIJKE AHOLD DELHAIZE N.V.|Europe|Y|9|4.0|5,000,000|1|> 95%
KONINKLIJKE DSM N.V.|Europe|Y|9|4.0|5,000,000|1|> 95%
KONINKLIJKE KPN N.V.|Europe|Y|11|7.7|7,500,000|2|> 95%
KONINKLIJKE PHILIPS N.V.|Europe|Y|6|3.3|2,500,000|1|> 95%
KOOKMIN BANK|Asia Ex-Japan|Y|5|3.0|2,500,000|0|> 95%
KOREA ELECTRIC POWER CORPORATION|Asia Ex-Japan|Y|3|1.3|2,500,000|0|> 95%
KOREA EXPRESSWAY CORPORATION|Asia Ex-Japan||1|0.3|2,500,000|0|> 95%
KRAFT HEINZ FOODS COMPANY|Americas|Y|10|7.7|12,500,000|2|< 5%
KT CORPORATION|Asia Ex-Japan|Y|3|1.3|2,500,000|0|> 95%
L BRANDS, INC.|Americas|Y|11|9.3|50,000,000|8|< 5%
L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE|Europe|Y|4|2.0|2,500,000|0|> 95%
LADBROKES CORAL GROUP LIMITED|Europe||7|4.7|2,500,000|1|> 95%
LAFARGE|Europe|Y|1|0.3|2,500,000|0|> 95%
LAFARGEHOLCIM LTD|Europe|Y|11|9.3|17,500,000|6|> 95%
LAMB WESTON HOLDINGS, INC.|Americas||5|2.7|2,500,000|0|< 5%
LANXESS AKTIENGESELLSCHAFT|Europe|Y|10|6.0|10,000,000|3|> 95%
LEBANESE REPUBLIC|Europe|Y|11|9.3|7,500,000|3|> 95%
LEGAL & GENERAL GROUP PLC|Europe|Y|1|0.3|2,500,000|0|> 95%
LENDLEASE CORPORATION LIMITED|Australia NZ|Y|2|1.0|2,500,000|0|> 95%
LENNAR CORPORATION|Americas|Y|11|10.0|15,000,000|6|< 5%
LEONARDO SOCIETA' PER AZIONI|Europe|Y|10|8.0|10,000,000|3|> 95%
LEVEL 3 PARENT, LLC|Americas||4|2.0|2,500,000|0|< 5%
LEVI STRAUSS & CO.|Americas|Y|3|1.0|2,500,000|0|< 5%
LEXMARK INTERNATIONAL, INC.|Americas||1|0.3|2,500,000|0|< 5%
LIBERTY INTERACTIVE LLC|Americas|Y|6|3.3|2,500,000|1|< 5%
LINCOLN NATIONAL CORPORATION|Americas|Y|9|7.0|10,000,000|1|< 5%
LINDE AKTIENGESELLSCHAFT|Europe|Y|6|2.7|2,500,000|0|> 95%
LLOYDS BANK PLC|Europe|Y|8|5.0|7,500,000|1|> 95%
LLOYDS BANKING GROUP PLC|Europe|Y|11|9.0|50,000,000|5|> 95%
LOCK LOWER HOLDING AS|Europe|Y|1|0.7|2,500,000|0|> 95%
LOCKHEED MARTIN CORPORATION|Americas|Y|7|5.0|5,000,000|1|< 5%
LOEWS CORPORATION|Americas|Y|7|4.0|5,000,000|0|< 5%
LOUIS DREYFUS COMPANY B.V.|Europe|Y|8|4.3|2,500,000|1|> 95%
LOUISIANA-PACIFIC CORPORATION|Americas|Y|3|1.0|2,500,000|0|< 5%
LOWE'S COMPANIES, INC.|Americas|Y|8|5.0|2,500,000|1|< 5%
LOXAM|Europe|Y|6|4.3|2,500,000|1|> 95%
LVMH MOET HENNESSY LOUIS VUITTON|Europe|Y|8|4.0|2,500,000|1|> 95%
M.D.C. HOLDINGS, INC.|Americas|Y|11|7.7|10,000,000|3|< 5%
MACQUARIE BANK LIMITED|Australia NZ|Y|6|3.3|5,000,000|0|> 95%
MACY'S, INC.|Americas|Y|12|10.0|22,500,000|5|< 5%
MALAYSIA|Asia Ex-Japan|Y|12|11.0|200,000,000|24|> 95%
MARATHON OIL CORPORATION|Americas||2|1.7|2,500,000|0|< 5%
MARKS AND SPENCER P.L.C.|Europe|Y|11|9.3|15,000,000|4|> 95%
MARRIOTT INTERNATIONAL, INC.|Americas|Y|10|5.0|2,500,000|1|< 5%
MARSH & MCLENNAN COMPANIES, INC.|Americas|Y|8|4.7|2,500,000|1|< 5%
MARUBENI CORPORATION|Japan|Y|6|3.0|10,000,000|1|> 95%
MASCO CORPORATION|Americas|Y|4|1.7|2,500,000|0|< 5%
MATALAN FINANCE PLC|Europe|Y|7|5.3|2,500,000|1|> 95%
MATTEL, INC.|Americas||5|3.0|2,500,000|0|< 5%
MATTERHORN TELECOM HOLDING S.A.|Europe|Y|8|5.7|5,000,000|1|> 95%
MBIA INC.|Americas|Y|9|6.3|10,000,000|3|< 5%
MBIA INSURANCE CORPORATION|Americas|Y|4|3.0|2,500,000|1|< 5%
MCDONALD'S CORPORATION|Americas|Y|7|3.7|7,500,000|1|< 5%
MCKESSON CORPORATION|Americas|Y|11|8.0|10,000,000|2|< 5%
MEDIOBANCA BANCA DI CREDITO FINANZIARIO SOCIETA PER AZIONI|Europe|Y|10|8.3|12,500,000|2|> 95%
MELIA HOTELS INTERNATIONAL, S.A.|Europe|Y|6|2.7|2,500,000|0|> 95%
MERCK KOMMANDITGESELLSCHAFT AUF AKTIEN|Europe||1|0.3|2,500,000|0|> 95%
MERITOR, INC.|Americas|Y|4|4.0|5,000,000|1|< 5%
METLIFE, INC.|Americas|Y|11|7.7|12,500,000|2|< 5%
METSA BOARD CORPORATION|Europe|Y|8|4.3|2,500,000|1|> 95%
MGIC INVESTMENT CORPORATION|Americas|Y|8|5.3|5,000,000|1|< 5%
MGM GROWTH PROPERTIES OPERATING PARTNERSHIP LP|Americas||3|1.3|2,500,000|0|< 5%
MGM RESORTS INTERNATIONAL|Americas|Y|8|5.3|7,500,000|2|< 5%
MICROSOFT CORPORATION|Americas||1|0.3|2,500,000|0|< 5%
MITSUBISHI CORPORATION|Japan|Y|3|1.3|2,500,000|0|> 95%
MITSUBISHI ESTATE COMPANY, LIMITED|Japan|Y|0|0.0|2,500,000|0|> 95%
MITSUBISHI HEAVY INDUSTRIES, LTD.|Japan|Y|4|2.3|2,500,000|0|> 95%
MITSUI & CO., LTD.|Japan|Y|5|2.0|2,500,000|0|> 95%
MITSUI CHEMICALS, INC.|Japan|Y|4|2.3|2,500,000|0|> 95%
MITSUI FUDOSAN CO., LTD.|Japan|Y|0|0.0|2,500,000|0|> 95%
MITSUI O.S.K. LINES, LTD.|Japan|Y|10|7.3|10,000,000|2|> 95%
MIZUHO BANK, LTD.|Japan|Y|1|0.3|2,500,000|0|> 95%
MONDELEZ INTERNATIONAL, INC.|Americas|Y|8|6.0|5,000,000|1|< 5%
MONITCHEM HOLDCO 3 S.A.|Europe|Y|7|3.7|2,500,000|0|> 95%
MORGAN STANLEY|Americas|Y|9|8.0|17,500,000|3|< 5%
MOTOROLA SOLUTIONS, INC.|Americas|Y|11|8.3|15,000,000|2|< 5%
MUENCHENER RUECKVERSICHERUNGS-GESELLSCHAFT AKTIENGESELLSCHAFT IN MUENCHEN|Europe|Y|10|7.3|10,000,000|2|> 95%
MUFG BANK, LTD.|Japan||3|1.7|5,000,000|0|> 95%
MURPHY OIL CORPORATION|Americas|Y|5|3.7|2,500,000|0|< 5%
NABORS INDUSTRIES, INC.|Americas|Y|10|8.3|15,000,000|4|< 5%
NATIONAL AUSTRALIA BANK LIMITED|Australia NZ|Y|9|7.3|20,000,000|2|> 95%
NATIONAL GRID PLC|Europe|Y|8|6.7|7,500,000|1|> 95%
NATIONAL RURAL UTILITIES COOPERATIVE FINANCE CORPORATION|Americas|Y|9|4.7|2,500,000|1|5-25%
NATIONAL WESTMINSTER BANK PUBLIC LIMITED COMPANY|Europe||6|3.7|5,000,000|1|> 95%
NATIONWIDE BUILDING SOCIETY|Europe|Y|1|0.3|2,500,000|0|> 95%
NATURGY ENERGY GROUP, S.A.|Europe||12|9.3|17,500,000|2|> 95%
NATWEST MARKETS PLC|Europe||9|5.7|12,500,000|2|> 95%
NAVIENT CORPORATION|Americas|Y|9|8.3|10,000,000|2|< 5%
NEC CORPORATION|Japan|Y|6|2.7|2,500,000|0|> 95%
NESTLE S.A.|Europe|Y|6|3.0|2,500,000|1|> 95%
NEW ALBERTSONS L.P.|Americas|Y|9|5.3|5,000,000|1|< 5%
NEW LOOK BONDCO I LIMITED|Europe||2|0.7|2,500,000|0|> 95%
NEW LOOK SENIOR ISSUER PLC|Europe|Y|7|4.7|2,500,000|1|> 95%
NEWELL BRANDS INC.|Americas|Y|9|8.3|15,000,000|2|< 5%
NEWMONT MINING CORPORATION|Americas|Y|9|6.7|10,000,000|3|< 5%
NEXT PLC|Europe|Y|11|7.7|12,500,000|3|> 95%
NEXTERA ENERGY CAPITAL HOLDINGS, INC.|Americas||0|0.0|2,500,000|0|> 95%
NIPPON PAPER INDUSTRIES CO.,LTD.|Japan|Y|8|5.0|7,500,000|1|> 95%
NIPPON STEEL & SUMITOMO METAL CORPORATION|Japan|Y|9|5.3|10,000,000|2|> 95%
NIPPON YUSEN KABUSHIKI KAISHA|Japan|Y|8|5.3|10,000,000|2|> 95%
NISSAN MOTOR CO., LTD.|Japan|Y|5|3.0|7,500,000|1|> 95%
NN GROUP N.V.|Europe||0|0.0|2,500,000|0|> 95%
NOBLE ENERGY, INC.|Americas||1|0.3|2,500,000|0|< 5%
NOKIA OYJ|Europe|Y|8|5.0|7,500,000|2|> 95%
NOMURA HOLDINGS, INC.|Japan|Y|1|0.3|2,500,000|0|> 95%
NORBORD INC.|Americas|Y|1|0.3|2,500,000|0|< 5%
NORDEA BANK AB|Europe||5|1.7|2,500,000|0|> 95%
NORDSTROM, INC.|Americas|Y|10|8.7|25,000,000|5|< 5%
NORFOLK SOUTHERN CORPORATION|Americas|Y|8|5.3|5,000,000|1|< 5%
NORTHROP GRUMMAN CORPORATION|Americas|Y|9|4.7|5,000,000|1|< 5%
NOVA CHEMICALS CORPORATION|Americas|Y|6|2.7|2,500,000|0|< 5%
NOVAFIVES|Europe|Y|7|5.7|5,000,000|2|> 95%
NOVARTIS AG|Europe||2|0.7|2,500,000|0|> 95%
NOVO BANCO, S.A.|Europe||1|0.3|2,500,000|0|> 95%
NRG ENERGY, INC.|Americas|Y|9|6.3|7,500,000|2|< 5%
NUCOR CORPORATION|Americas||1|0.3|2,500,000|0|< 5%
NXP B.V.|Europe|Y|2|1.0|2,500,000|0|> 95%
NXP USA, INC.|Americas||1|0.3|2,500,000|0|< 5%
OBAYASHI CORPORATION|Japan|Y|2|1.0|2,500,000|0|> 95%
OCCIDENTAL PETROLEUM CORPORATION|Americas||3|1.0|2,500,000|0|< 5%
OFFICE DEPOT, INC.|Americas||1|0.3|2,500,000|0|< 5%
OJI HOLDINGS CORPORATION|Japan|Y|7|3.3|2,500,000|0|> 95%
OLD MUTUAL PUBLIC LIMITED COMPANY|Europe|Y|5|2.3|2,500,000|0|> 95%
OLIN CORPORATION|Americas|Y|7|5.0|2,500,000|1|< 5%
OMNICOM GROUP INC.|Americas|Y|8|6.0|5,000,000|1|< 5%
ONEOK, INC.|Americas|Y|2|0.7|2,500,000|0|< 5%
ORACLE CORPORATION|Americas||1|0.3|2,500,000|0|< 5%
ORANGE|Europe|Y|10|6.0|7,500,000|1|> 95%
ORIENTAL REPUBLIC OF URUGUAY|Americas|Y|1|0.3|2,500,000|0|> 95%
ORIX CORPORATION|Japan|Y|3|2.0|2,500,000|0|> 95%
OVERSEA-CHINESE BANKING CORPORATION LIMITED|Asia Ex-Japan|Y|6|3.0|2,500,000|0|> 95%
OWENS CORNING|Americas||1|0.3|2,500,000|0|< 5%
OWENS-ILLINOIS, INC.|Americas|Y|5|1.7|2,500,000|0|< 5%
PACIFIC GAS AND ELECTRIC COMPANY|Americas||1|0.3|2,500,000|0|< 5%
PACKAGING CORPORATION OF AMERICA|Americas|Y|7|2.3|2,500,000|0|< 5%
PACTIV LLC|Americas|Y|7|3.3|5,000,000|0|< 5%
PANASONIC CORPORATION|Japan|Y|3|2.0|2,500,000|1|> 95%
PARKER DRILLING COMPANY|Americas|Y|7|3.3|2,500,000|1|< 5%
PCCW-HKT TELEPHONE LIMITED|Asia Ex-Japan|Y|3|1.7|2,500,000|0|> 95%
PEARSON PLC|Europe|Y|8|5.0|10,000,000|2|> 95%
PEOPLE'S REPUBLIC OF CHINA|Asia Ex-Japan|Y|14|12.7|425,000,000|38|> 95%
PEPSICO, INC.|Americas||1|0.3|2,500,000|0|< 5%
PERNOD RICARD|Europe|Y|9|5.3|7,500,000|1|> 95%
PETROLEO BRASILEIRO S/A PETROBRAS|Americas|Y|11|9.0|50,000,000|9|> 95%
PETROLEOS MEXICANOS|Americas|Y|12|10.7|50,000,000|9|> 95%
PETROLIAM NASIONAL BERHAD (PETRONAS)|Asia Ex-Japan|Y|5|2.7|2,500,000|0|> 95%
PEUGEOT SA|Europe|Y|10|7.3|12,500,000|3|> 95%
PFIZER INC.|Americas|Y|9|4.7|5,000,000|1|< 5%
PHH CORPORATION|Americas|Y|4|1.3|2,500,000|0|< 5%
PIONEER NATURAL RESOURCES COMPANY|Americas|Y|2|0.7|2,500,000|0|< 5%
PITNEY BOWES INC.|Americas|Y|10|7.7|12,500,000|4|< 5%
PIZZAEXPRESS FINANCING 1 PLC|Europe|Y|8|5.0|2,500,000|1|> 95%
PLAY FINANCE 1 S.A.|Europe|Y|3|1.0|2,500,000|0|> 95%
POLYONE CORPORATION|Americas|Y|4|1.7|2,500,000|0|25-75%
PORSCHE AUTOMOBIL HOLDING SE|Europe|Y|1|0.3|2,500,000|0|> 95%
PORTUGUESE REPUBLIC|Europe|Y|11|6.3|12,500,000|2|> 95%
POSCO|Asia Ex-Japan|Y|7|4.0|7,500,000|1|> 95%
POSTNL N.V.|Europe|Y|5|2.7|5,000,000|1|> 95%
PREMIER FOODS FINANCE PLC|Europe|Y|7|5.0|5,000,000|2|> 95%
PROLOGIS, L.P.|Americas||4|1.3|2,500,000|0|< 5%
PROSIEBENSAT.1 MEDIA SE|Europe||1|0.3|2,500,000|0|> 95%
PRUDENTIAL FINANCIAL, INC.|Americas|Y|9|6.3|7,500,000|1|< 5%
PRUDENTIAL PUBLIC LIMITED COMPANY|Europe|Y|10|8.7|7,500,000|1|> 95%
"PUBLIC JOINT STOCK COMPANY ""OIL COMPANY ""LUKOIL"""|Europe|Y|1|0.3|2,500,000|0|> 95%
"PUBLIC JOINT STOCK COMPANY ""VIMPEL-COMMUNICATIONS"""|Europe|Y|1|0.3|2,500,000|0|> 95%
PUBLIC POWER CORPORATION FINANCE PLC|Europe|Y|5|2.7|2,500,000|0|> 95%
PUBLICIS GROUPE SA|Europe|Y|8|4.7|5,000,000|1|> 95%
PULTEGROUP, INC.|Americas|Y|10|9.0|10,000,000|4|< 5%
QANTAS AIRWAYS LIMITED|Australia NZ|Y|8|5.7|5,000,000|1|> 95%
QBE INSURANCE GROUP LIMITED|Australia NZ|Y|3|1.7|2,500,000|0|> 95%
QUEST DIAGNOSTICS INCORPORATED|Americas|Y|9|5.7|5,000,000|1|< 5%
QWEST CAPITAL FUNDING, INC.|Americas|Y|2|0.7|2,500,000|0|< 5%
R.R. DONNELLEY & SONS COMPANY|Americas|Y|11|7.7|17,500,000|8|< 5%
RADIAN GROUP INC.|Americas|Y|9|6.3|7,500,000|1|< 5%
RAIFFEISEN BANK INTERNATIONAL AG|Europe||1|0.3|2,500,000|0|> 95%
RAKUTEN, INC.|Japan||4|2.3|2,500,000|0|> 95%
RALLYE|Europe|Y|13|10.3|50,000,000|32|> 95%
RAYTHEON COMPANY|Americas|Y|7|5.3|2,500,000|1|< 5%
REALOGY GROUP LLC|Americas|Y|6|4.7|2,500,000|1|< 5%
RECKITT BENCKISER GROUP PLC|Europe||2|0.7|2,500,000|0|> 95%
RELIANCE INDUSTRIES LIMITED|Asia Ex-Japan|Y|7|4.7|2,500,000|1|> 95%
RELX PLC|Europe|Y|6|2.7|5,000,000|1|> 95%
RENAULT|Europe|Y|10|8.0|20,000,000|4|> 95%
RENTOKIL INITIAL PLC|Europe|Y|2|1.7|2,500,000|0|> 95%
REPSOL, S.A.|Europe|Y|10|7.7|10,000,000|1|> 95%
REPUBLIC OF AUSTRIA|Europe|Y|3|1.0|2,500,000|0|> 95%
REPUBLIC OF BULGARIA|Europe|Y|1|0.3|2,500,000|0|> 95%
REPUBLIC OF CHILE|Americas|Y|11|10.0|75,000,000|7|> 95%
REPUBLIC OF COLOMBIA|Americas|Y|12|10.7|175,000,000|23|> 95%
REPUBLIC OF CROATIA|Europe|Y|2|0.7|2,500,000|0|> 95%
REPUBLIC OF FINLAND|Europe|Y|4|1.3|2,500,000|0|> 95%
REPUBLIC OF INDONESIA|Asia Ex-Japan|Y|12|11.3|375,000,000|45|> 95%
REPUBLIC OF ITALY|Europe|Y|14|13.0|250,000,000|12|> 95%
REPUBLIC OF KAZAKHSTAN|Europe|Y|3|1.0|2,500,000|0|> 95%
REPUBLIC OF KOREA|Asia Ex-Japan|Y|14|12.3|275,000,000|21|> 95%
REPUBLIC OF LATVIA|Europe|Y|1|0.7|2,500,000|0|> 95%
REPUBLIC OF LITHUANIA|Europe|Y|2|0.7|2,500,000|0|> 95%
REPUBLIC OF PANAMA|Americas|Y|10|8.3|10,000,000|2|> 95%
REPUBLIC OF PERU|Americas|Y|11|10.0|50,000,000|5|> 95%
REPUBLIC OF POLAND|Europe|Y|2|1.3|2,500,000|0|> 95%
REPUBLIC OF SERBIA|Europe|Y|0|0.0|2,500,000|0|> 95%
REPUBLIC OF SLOVENIA|Europe|Y|2|0.7|2,500,000|0|> 95%
REPUBLIC OF SOUTH AFRICA|Europe|Y|12|11.7|425,000,000|63|> 95%
REPUBLIC OF THE PHILIPPINES|Asia Ex-Japan|Y|11|10.0|100,000,000|11|> 95%
REPUBLIC OF TURKEY|Europe|Y|14|13.0|800,000,000|120|> 95%
REXEL|Europe|Y|9|6.3|2,500,000|1|> 95%
REYNOLDS AMERICAN INC.|Americas|Y|6|2.0|2,500,000|0|< 5%
RICOH COMPANY, LTD.|Japan|Y|6|3.0|2,500,000|0|> 95%
RIO TINTO LIMITED|Australia NZ|Y|8|6.0|12,500,000|2|> 95%
RITE AID CORPORATION|Americas|Y|10|9.0|22,500,000|8|< 5%
ROLLS-ROYCE PLC|Europe|Y|14|10.7|50,000,000|5|> 95%
ROMANIA|Europe|Y|4|1.3|5,000,000|0|> 95%
ROYAL CARIBBEAN CRUISES LTD.|Americas|Y|8|6.0|7,500,000|2|< 5%
ROYAL DUTCH SHELL PLC|Europe|Y|11|8.3|12,500,000|1|> 95%
RUSSIAN FEDERATION|Europe|Y|13|11.3|350,000,000|39|> 95%
RYDER SYSTEM, INC.|Americas|Y|9|6.7|7,500,000|1|< 5%
SABRE HOLDINGS CORPORATION|Americas|Y|2|0.7|2,500,000|0|< 5%
SAFEWAY INC.|Americas|Y|10|8.0|10,000,000|2|< 5%
SAFEWAY LIMITED|Europe|Y|5|2.3|2,500,000|0|> 95%
SAIPEM FINANCE INTERNATIONAL B.V.|Europe|Y|7|4.0|2,500,000|0|> 95%
SAKS INCORPORATED|Americas|Y|1|0.3|2,500,000|0|< 5%
SAMSUNG ELECTRONICS CO., LTD.|Asia Ex-Japan|Y|6|2.7|2,500,000|0|> 95%
SANMINA CORPORATION|Americas|Y|2|0.7|2,500,000|0|< 5%
SANOFI|Europe|Y|10|6.0|10,000,000|1|> 95%
SASOL LTD|Europe||1|0.3|2,500,000|0|> 95%
SBERBANK|Europe|Y|4|1.3|2,500,000|0|> 95%
SCANDINAVIAN AIRLINES SYSTEM DENMARK-NORWAY-SWEDEN|Europe|Y|2|0.7|2,500,000|0|> 95%
SCANIA AKTIEBOLAG|Europe||1|0.3|2,500,000|0|> 95%
SCENTRE MANAGEMENT LIMITED AS RESPONSIBLE ENTITY OF SCENTRE GROUP TRUST 1|Australia NZ|Y|2|1.0|2,500,000|0|> 95%
SCHAEFFLER FINANCE B.V.|Europe|Y|9|6.3|7,500,000|2|> 95%
SCHNEIDER ELECTRIC SE|Europe||3|1.0|2,500,000|0|> 95%
SEALED AIR CORPORATION|Americas|Y|6|3.7|2,500,000|1|< 5%
SEARS ROEBUCK ACCEPTANCE CORP.|Americas|Y|8|4.3|5,000,000|1|< 5%
SELECTA GROUP B.V.|Europe|Y|6|4.3|5,000,000|1|> 95%
SEMPRA ENERGY|Americas|Y|7|3.0|2,500,000|0|< 5%
SES|Europe|Y|5|4.0|2,500,000|1|> 95%
SHIMIZU CORPORATION|Japan|Y|2|1.3|2,500,000|0|> 95%
SHINHAN BANK|Asia Ex-Japan|Y|0|0.0|2,500,000|0|> 95%
SIEMENS AKTIENGESELLSCHAFT|Europe|Y|8|5.0|10,000,000|1|> 95%
SIMON PROPERTY GROUP, L.P.|Americas|Y|9|7.7|12,500,000|2|< 5%
SINGAPORE TELECOMMUNICATIONS LIMITED|Asia Ex-Japan|Y|3|1.3|2,500,000|0|> 95%
SINGTEL OPTUS PTY LIMITED|Australia NZ|Y|1|0.3|2,500,000|0|> 95%
SK TELECOM CO., LTD.|Asia Ex-Japan|Y|5|2.0|2,500,000|0|> 95%
SKANDINAVISKA ENSKILDA BANKEN AB|Europe||2|0.7|2,500,000|0|> 95%
SKY PLC|Europe|Y|8|5.0|7,500,000|1|> 95%
SLOVAK REPUBLIC|Europe|Y|2|0.7|2,500,000|0|> 95%
SMITHFIELD FOODS, INC.|Americas|Y|1|0.3|2,500,000|0|< 5%
SMITHS GROUP PLC|Europe||1|0.3|2,500,000|0|> 95%
SMURFIT KAPPA ACQUISITIONS UNLIMITED COMPANY|Europe|Y|8|6.0|5,000,000|1|> 95%
SMURFIT KAPPA FUNDING DESIGNATED ACTIVITY COMPANY|Europe||1|0.3|2,500,000|0|> 95%
SOCIALIST REPUBLIC OF VIETNAM|Asia Ex-Japan|Y|8|3.0|2,500,000|0|> 95%
SOCIETE GENERALE|Europe|Y|10|8.3|22,500,000|3|> 95%
SODEXO|Europe|Y|3|2.0|2,500,000|0|> 95%
SOFTBANK GROUP CORP.|Japan|Y|12|10.3|20,000,000|6|> 95%
SOLVAY|Europe|Y|8|4.3|7,500,000|2|> 95%
SOLVAY FRANCE|Europe||1|0.3|2,500,000|0|> 95%
SONY CORPORATION|Japan|Y|9|4.7|2,500,000|0|> 95%
SOUTHWEST AIRLINES CO.|Americas|Y|10|6.3|5,000,000|1|< 5%
SPARK NEW ZEALAND LIMITED|Australia NZ|Y|1|0.3|2,500,000|0|> 95%
SPRINGLEAF FINANCE CORPORATION|Americas|Y|9|6.0|5,000,000|1|< 5%
