REFERENCE ENTITY|REGION|INDEX CONSTITUENT|TOTAL NUMBER OF CLEARING DEALERS|AVERAGE MONTHLY CLEARING DEALERS|AVERAGE DAILY NOTIONAL (USD EQ)|AVERAGE NUMBER TRADES/DAY|DOC CLAUSE %
JAGUAR LAND ROVER AUTOMOTIVE PLC|EUROPE||9|5.0|100,000,000|18|> 95%
JAPAN|SOVEREIGN|Y|10|7.0|50,000,000|2|75-95%
JAPAN TOBACCO INC.|JAPAN||5|2.3|5,000,000|0|75-95%
JFE HOLDINGS, INC.|JAPAN||5|2.3|5,000,000|2|25-75%
JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY|AMERICAS|Y|5|1.7|12,500,000|2|5-25%
JOHNSON & JOHNSON|AMERICAS|Y|5|1.7|12,500,000|2|< 5%
JPMORGAN CHASE & CO.|AMERICAS||7|3.3|20,000,000|3|< 5%
J SAINSBURY PLC|EUROPE|Y|2|0.7|2,500,000|0|75-95%
KAJIMA CORPORATION|JAPAN||0|0.0|2,500,000|0|> 95%
KAWASAKI HEAVY INDUSTRIES, LTD.|JAPAN||7|2.7|5,000,000|1|25-75%
KAWASAKI KISEN KAISHA, LTD.|JAPAN||10|4.3|5,000,000|2|75-95%
KB HOME|AMERICAS|Y|5|2.7|20,000,000|5|< 5%
KEB HANA BANK|ASIA EX-JAPAN||2|0.7|2,500,000|0|> 95%
KERING|EUROPE|Y|2|1.0|10,000,000|2|> 95%
K. HOVNANIAN ENTERPRISES, INC.|AMERICAS|Y|3|1.7|5,000,000|4|< 5%
KIMCO REALTY CORPORATION|AMERICAS||0|0.0|2,500,000|0|< 5%
KINDER MORGAN, INC.|AMERICAS|Y|4|1.3|10,000,000|3|< 5%
KINGDOM OF BAHRAIN|SOVEREIGN|Y|5|3.0|10,000,000|1|75-95%
KINGDOM OF BELGIUM|SOVEREIGN||2|1.0|50,000,000|5|> 95%
KINGDOM OF DENMARK|SOVEREIGN||0|0.0|2,500,000|0|> 95%
KINGDOM OF MOROCCO|SOVEREIGN||3|1.0|2,500,000|0|25-75%
KINGDOM OF NORWAY|SOVEREIGN||1|0.3|2,500,000|0|> 95%
KINGDOM OF SAUDI ARABIA|SOVEREIGN|Y|9|5.3|125,000,000|7|75-95%
KINGDOM OF SPAIN|SOVEREIGN||4|1.7|200,000,000|11|> 95%
KINGDOM OF SWEDEN|SOVEREIGN||3|1.0|5,000,000|0|75-95%
KINGDOM OF THAILAND|SOVEREIGN|Y|6|3.3|10,000,000|1|75-95%
KINGDOM OF THE NETHERLANDS|SOVEREIGN||0|0.0|5,000,000|1|> 95%
KINGFISHER PLC|EUROPE|Y|0|0.0|2,500,000|0|75-95%
KINTETSU GROUP HOLDINGS CO., LTD.|JAPAN||5|2.0|2,500,000|0|> 95%
KLEPIERRE|EUROPE||2|0.7|2,500,000|0|25-75%
KOBE STEEL, LTD.|JAPAN||7|4.7|10,000,000|4|25-75%
KOHL'S CORPORATION|AMERICAS|Y|8|3.3|20,000,000|7|< 5%
KOMATSU LTD.|JAPAN||3|1.0|2,500,000|0|> 95%
KONINKLIJKE AHOLD DELHAIZE N.V.|EUROPE||2|0.7|17,500,000|3|75-95%
KONINKLIJKE DSM N.V.|EUROPE||4|1.7|10,000,000|2|> 95%
KONINKLIJKE KPN N.V.|EUROPE||5|3.0|20,000,000|4|25-75%
KONINKLIJKE PHILIPS N.V.|EUROPE||2|1.0|22,500,000|5|> 95%
KOOKMIN BANK|ASIA EX-JAPAN||0|0.0|2,500,000|0|> 95%
KOREA ELECTRIC POWER CORPORATION|ASIA EX-JAPAN||2|0.7|2,500,000|0|> 95%
KRAFT HEINZ FOODS COMPANY|AMERICAS|Y|2|0.7|12,500,000|2|< 5%
K+S AKTIENGESELLSCHAFT|EUROPE||5|2.0|2,500,000|1|25-75%
KT CORPORATION|ASIA EX-JAPAN||2|1.0|2,500,000|0|> 95%
LADBROKES CORAL GROUP LIMITED|EUROPE||3|1.3|5,000,000|2|75-95%
LAGARDERE SA|EUROPE|Y|5|2.3|5,000,000|1|25-75%
L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE|EUROPE||3|1.3|10,000,000|2|75-95%
LAMB WESTON HOLDINGS, INC.|AMERICAS|Y|2|0.7|5,000,000|2|< 5%
LANXESS AKTIENGESELLSCHAFT|EUROPE||7|3.0|22,500,000|5|75-95%
LENDLEASE CORPORATION LIMITED|AUSTRALIA NZ||1|0.3|2,500,000|0|< 5%
LENNAR CORPORATION|AMERICAS|Y|7|2.7|20,000,000|5|< 5%
LEONARDO SOCIETA' PER AZIONI|EUROPE||6|3.3|50,000,000|8|75-95%
LIBERTY INTERACTIVE LLC|AMERICAS|Y|1|0.3|2,500,000|1|< 5%
LINCOLN NATIONAL CORPORATION|AMERICAS|Y|7|4.0|20,000,000|8|< 5%
LINDE GMBH|EUROPE||1|0.3|2,500,000|0|> 95%
LLOYDS BANKING GROUP PLC|EUROPE||10|7.0|100,000,000|13|75-95%
LLOYDS BANK PLC|EUROPE||2|0.7|20,000,000|3|> 95%
LOCKHEED MARTIN CORPORATION|AMERICAS|Y|2|0.7|12,500,000|2|< 5%
LOEWS CORPORATION|AMERICAS|Y|3|1.0|5,000,000|2|< 5%
LONGFOR GROUP HOLDINGS LIMITED|ASIA EX-JAPAN||5|1.7|2,500,000|0|> 95%
LOUIS DREYFUS COMPANY B.V.|EUROPE||5|2.3|12,500,000|4|75-95%
LOUISIANA-PACIFIC CORPORATION|AMERICAS|Y|3|1.0|2,500,000|1|< 5%
LOWE'S COMPANIES, INC.|AMERICAS|Y|8|4.3|22,500,000|5|5-25%
LOXAM|EUROPE|Y|8|4.0|7,500,000|2|25-75%
LUMEN TECHNOLOGIES, INC.|AMERICAS|Y|5|2.0|22,500,000|9|< 5%
LVMH MOET HENNESSY LOUIS VUITTON|EUROPE|Y|4|1.3|50,000,000|6|> 95%
MACQUARIE BANK LIMITED|AUSTRALIA NZ||0|0.0|2,500,000|0|> 95%
MACY'S, INC.|AMERICAS|Y|7|3.7|22,500,000|8|< 5%
MALAYSIA|SOVEREIGN|Y|7|4.7|50,000,000|8|75-95%
MARATHON PETROLEUM CORPORATION|AMERICAS|Y|1|0.3|10,000,000|2|< 5%
MARKS AND SPENCER P.L.C.|EUROPE||7|4.3|25,000,000|8|75-95%
MARRIOTT INTERNATIONAL, INC.|AMERICAS|Y|5|1.7|12,500,000|2|< 5%
MARSH & MCLENNAN COMPANIES, INC.|AMERICAS|Y|2|0.7|5,000,000|1|< 5%
MARUBENI CORPORATION|JAPAN||6|3.0|5,000,000|1|25-75%
MATTEL, INC.|AMERICAS||1|0.3|2,500,000|0|< 5%
MATTERHORN TELECOM HOLDING S.A.|EUROPE||8|4.0|5,000,000|1|75-95%
MAZDA MOTOR CORPORATION|JAPAN||1|0.3|2,500,000|0|> 95%
MBIA INC.|AMERICAS|Y|2|0.7|2,500,000|1|< 5%
MCDONALD'S CORPORATION|AMERICAS|Y|2|0.7|17,500,000|4|< 5%
MCKESSON CORPORATION|AMERICAS|Y|4|1.7|12,500,000|2|25-75%
M.D.C. HOLDINGS, INC.|AMERICAS|Y|4|1.7|15,000,000|4|< 5%
MEDIOBANCA BANCA DI CREDITO FINANZIARIO SOCIETA PER AZIONI|EUROPE||9|7.3|75,000,000|11|75-95%
MEITUAN|ASIA EX-JAPAN||0|0.0|2,500,000|0|< 5%
MERCEDES-BENZ GROUP AG|EUROPE||8|5.3|150,000,000|14|75-95%
MERCK KOMMANDITGESELLSCHAFT AUF AKTIEN|EUROPE||1|0.3|2,500,000|0|> 95%
MERITOR, INC.|AMERICAS|Y|1|0.3|2,500,000|0|< 5%
METLIFE, INC.|AMERICAS|Y|8|4.7|50,000,000|10|< 5%
METSA BOARD CORPORATION|EUROPE||1|0.3|2,500,000|0|> 95%
MGIC INVESTMENT CORPORATION|AMERICAS|Y|5|3.7|7,500,000|3|< 5%
MGM RESORTS INTERNATIONAL|AMERICAS|Y|3|1.0|10,000,000|4|< 5%
M&G PLC|EUROPE||1|0.3|7,500,000|2|> 95%
MITSUBISHI CORPORATION|JAPAN||6|2.3|2,500,000|1|75-95%
MITSUBISHI ESTATE COMPANY, LIMITED|JAPAN||4|1.7|2,500,000|0|> 95%
MITSUBISHI HEAVY INDUSTRIES, LTD.|JAPAN||5|2.3|2,500,000|0|75-95%
MITSUI CHEMICALS, INC.|JAPAN||4|1.3|2,500,000|1|25-75%
MITSUI & CO., LTD.|JAPAN||7|3.7|5,000,000|1|> 95%
MITSUI FUDOSAN CO., LTD.|JAPAN||0|0.0|2,500,000|0|> 95%
MITSUI O.S.K. LINES, LTD.|JAPAN||7|4.0|5,000,000|2|25-75%
MIZUHO BANK, LTD.|JAPAN||2|1.0|2,500,000|0|> 95%
MODULAIRE GLOBAL FINANCE PLC|EUROPE||0|0.0|2,500,000|0|75-95%
MONDELEZ INTERNATIONAL, INC.|AMERICAS|Y|6|2.3|17,500,000|4|5-25%
MONITCHEM HOLDCO 3 S.A.|EUROPE||6|3.7|7,500,000|2|25-75%
MORGAN STANLEY|AMERICAS|Y|8|5.0|25,000,000|6|< 5%
MOTOROLA SOLUTIONS, INC.|AMERICAS|Y|1|0.3|12,500,000|3|< 5%
MPT OPERATING PARTNERSHIP, L.P.|AMERICAS|Y|7|4.0|2,500,000|1|< 5%
MUENCHENER RUECKVERSICHERUNGS-GESELLSCHAFT AKTIENGESELLSCHAFT IN MUENCHEN|EUROPE||9|7.0|50,000,000|7|75-95%
MUFG BANK, LTD.|JAPAN||0|0.0|2,500,000|0|> 95%
MURPHY OIL CORPORATION|AMERICAS|Y|4|1.3|5,000,000|1|< 5%
NABORS INDUSTRIES, INC.|AMERICAS|Y|2|1.0|10,000,000|4|< 5%
NATIONAL AUSTRALIA BANK LIMITED|AUSTRALIA NZ||1|0.3|5,000,000|1|> 95%
NATIONAL GRID PLC|EUROPE||5|2.3|50,000,000|4|25-75%
NATIONAL RURAL UTILITIES COOPERATIVE FINANCE CORPORATION|AMERICAS|Y|1|0.3|7,500,000|2|< 5%
NATIONAL WESTMINSTER BANK PUBLIC LIMITED COMPANY|EUROPE||1|0.3|10,000,000|3|> 95%
NATURGY ENERGY GROUP, S.A.|EUROPE||5|2.7|20,000,000|3|75-95%
NATWEST GROUP PLC|EUROPE|Y|8|5.0|75,000,000|9|75-95%
NATWEST MARKETS PLC|EUROPE||4|2.0|50,000,000|5|> 95%
NAVIENT CORPORATION|AMERICAS|Y|2|1.0|7,500,000|3|< 5%
NEC CORPORATION|JAPAN||3|1.0|2,500,000|0|75-95%
NESTLE S.A.|EUROPE||3|1.3|50,000,000|6|> 95%
NETFLIX, INC.|AMERICAS|Y|4|2.0|10,000,000|2|< 5%
NEW ALBERTSONS L.P.|AMERICAS|Y|2|0.7|2,500,000|1|< 5%
NEWELL BRANDS INC.|AMERICAS|Y|6|2.0|20,000,000|8|< 5%
NEWMONT CORPORATION|AMERICAS|Y|3|1.0|7,500,000|2|< 5%
NEXI S.P.A.|EUROPE||1|0.3|2,500,000|0|75-95%
NEXTERA ENERGY CAPITAL HOLDINGS, INC.|AMERICAS|Y|5|1.7|22,500,000|3|< 5%
NEXT PLC|EUROPE|Y|9|5.7|25,000,000|6|25-75%
NIDDA HEALTHCARE HOLDING GMBH|EUROPE||1|0.3|2,500,000|0|> 95%
NIKE, INC.|AMERICAS||3|1.7|2,500,000|0|> 95%
NIPPON PAPER INDUSTRIES CO.,LTD.|JAPAN||9|6.3|7,500,000|2|75-95%
NIPPON STEEL CORPORATION|JAPAN||7|3.0|7,500,000|2|25-75%
NIPPON TELEGRAPH AND TELEPHONE CORPORATION|JAPAN||1|0.3|2,500,000|0|> 95%
NIPPON YUSEN KABUSHIKI KAISHA|JAPAN|Y|7|4.7|7,500,000|3|75-95%
NISSAN MOTOR CO., LTD.|JAPAN||11|8.3|10,000,000|3|75-95%
NOKIA OYJ|EUROPE|Y|5|3.0|12,500,000|3|75-95%
NOMURA HOLDINGS, INC.|JAPAN||6|2.3|5,000,000|1|> 95%
NORBORD INC.|AMERICAS|Y|0|0.0|2,500,000|0|< 5%
NORDEA BANK ABP|EUROPE||2|1.3|2,500,000|0|> 95%
NORDSTROM, INC.|AMERICAS|Y|7|2.7|20,000,000|6|< 5%
NORFOLK SOUTHERN CORPORATION|AMERICAS|Y|3|1.0|5,000,000|2|< 5%
NORTHROP GRUMMAN CORPORATION|AMERICAS|Y|3|1.0|7,500,000|2|< 5%
NOVA CHEMICALS CORPORATION|AMERICAS|Y|2|0.7|5,000,000|1|< 5%
NOVAFIVES|EUROPE|Y|4|1.7|10,000,000|4|75-95%
NOVARTIS AG|EUROPE||4|1.7|2,500,000|0|> 95%
NRG ENERGY, INC.|AMERICAS|Y|5|2.0|10,000,000|4|< 5%
NUCOR CORPORATION|AMERICAS||0|0.0|2,500,000|0|< 5%
NXP B.V.|EUROPE|Y|0|0.0|2,500,000|0|> 95%
OCCIDENTAL PETROLEUM CORPORATION|AMERICAS|Y|4|2.3|20,000,000|5|< 5%
OI EUROPEAN GROUP B.V.|EUROPE||6|3.3|5,000,000|2|25-75%
OJI HOLDINGS CORPORATION|JAPAN||6|2.3|5,000,000|1|75-95%
OLIN CORPORATION|AMERICAS|Y|4|1.7|7,500,000|2|< 5%
OMNICOM GROUP INC.|AMERICAS|Y|2|0.7|7,500,000|2|< 5%
ONEMAIN FINANCE CORPORATION|AMERICAS|Y|3|1.0|7,500,000|2|< 5%
ORACLE CORPORATION|AMERICAS|Y|5|1.7|22,500,000|4|< 5%
ORANGE|EUROPE|Y|6|2.7|17,500,000|3|75-95%
ORANO|EUROPE|Y|1|0.3|2,500,000|0|> 95%
ORIX CORPORATION|JAPAN||9|4.0|5,000,000|2|75-95%
OVINTIV CANADA ULC|AMERICAS||2|0.7|2,500,000|0|< 5%
OVINTIV INC.|AMERICAS|Y|5|2.0|10,000,000|3|< 5%
PACKAGING CORPORATION OF AMERICA|AMERICAS|Y|3|1.0|7,500,000|2|< 5%
PACTIV LLC|AMERICAS|Y|2|0.7|5,000,000|1|< 5%
PANASONIC HOLDINGS CORPORATION|JAPAN||5|1.7|2,500,000|0|> 95%
PARAMOUNT GLOBAL|AMERICAS|Y|3|1.0|50,000,000|9|< 5%
PEARSON PLC|EUROPE|Y|7|2.7|20,000,000|4|75-95%
PEOPLE'S REPUBLIC OF CHINA|SOVEREIGN|Y|12|8.3|225,000,000|18|75-95%
PEPSICO, INC.|AMERICAS||2|0.7|5,000,000|0|> 95%
PERNOD RICARD|EUROPE|Y|5|2.0|50,000,000|6|> 95%
PERUSAHAAN PERSEROAN (PERSERO) PT PERUSAHAAN LISTRIK NEGARA|ASIA EX-JAPAN||4|1.7|2,500,000|0|75-95%
PETROLEO BRASILEIRO S/A PETROBRAS|AMERICAS|Y|9|4.3|17,500,000|3|75-95%
PETROLEOS MEXICANOS|AMERICAS|Y|9|6.3|50,000,000|6|75-95%
PETROLIAM NASIONAL BERHAD (PETRONAS)|ASIA EX-JAPAN||2|1.3|2,500,000|0|> 95%
PFIZER INC.|AMERICAS|Y|6|2.3|20,000,000|3|< 5%
PG&E CORPORATION|AMERICAS|Y|3|1.7|5,000,000|2|< 5%
PICARD BONDCO S.A.|EUROPE||9|4.7|5,000,000|2|25-75%
PIONEER NATURAL RESOURCES COMPANY|AMERICAS|Y|4|1.7|2,500,000|1|< 5%
PITNEY BOWES INC.|AMERICAS|Y|4|1.7|7,500,000|3|< 5%
PORTUGUESE REPUBLIC|SOVEREIGN||0|0.0|50,000,000|6|> 95%
POSCO HOLDINGS INC.|ASIA EX-JAPAN||2|1.3|5,000,000|1|75-95%
POST HOLDINGS, INC.|AMERICAS|Y|5|3.7|2,500,000|1|< 5%
POSTNL N.V.|EUROPE||4|1.7|22,500,000|5|75-95%
PREMIER FOODS FINANCE PLC|EUROPE||2|0.7|5,000,000|1|75-95%
PRUDENTIAL FINANCIAL, INC.|AMERICAS|Y|9|5.0|50,000,000|8|< 5%
PRUDENTIAL PUBLIC LIMITED COMPANY|EUROPE||9|6.3|50,000,000|7|75-95%
PT INDONESIA ASAHAN ALUMINIUM PERSERO|ASIA EX-JAPAN|Y|5|2.0|2,500,000|0|> 95%
PT PERTAMINA (PERSERO)|ASIA EX-JAPAN||3|1.3|2,500,000|0|> 95%
PUBLICIS GROUPE SA|EUROPE|Y|4|2.0|15,000,000|3|75-95%
PUBLIC POWER CORPORATION FINANCE PLC|EUROPE||0|0.0|2,500,000|0|> 95%
PULTEGROUP, INC.|AMERICAS|Y|5|3.0|20,000,000|6|< 5%
QANTAS AIRWAYS LIMITED|AUSTRALIA NZ||0|0.0|2,500,000|0|> 95%
QUEST DIAGNOSTICS INCORPORATED|AMERICAS|Y|2|0.7|7,500,000|2|< 5%
RADIAN GROUP INC.|AMERICAS|Y|6|2.7|7,500,000|2|< 5%
RAKUTEN GROUP, INC.|JAPAN||10|6.3|7,500,000|4|> 95%
RAYTHEON COMPANY|AMERICAS|Y|0|0.0|2,500,000|0|< 5%
RAYTHEON TECHNOLOGIES CORPORATION|AMERICAS|Y|1|0.3|7,500,000|3|< 5%
RELIANCE INDUSTRIES LIMITED|ASIA EX-JAPAN||3|1.7|7,500,000|1|> 95%
RELX PLC|EUROPE|Y|1|0.3|2,500,000|1|> 95%
RENAULT|EUROPE|Y|7|4.7|75,000,000|14|75-95%
RENTOKIL INITIAL PLC|EUROPE|Y|1|0.3|20,000,000|2|75-95%
REPSOL, S.A.|EUROPE||4|2.0|12,500,000|3|25-75%
REPUBLIC OF AUSTRIA|SOVEREIGN||0|0.0|50,000,000|4|> 95%
REPUBLIC OF CHILE|SOVEREIGN|Y|8|5.0|125,000,000|12|75-95%
REPUBLIC OF COLOMBIA|SOVEREIGN|Y|8|8.0|200,000,000|31|75-95%
REPUBLIC OF FINLAND|SOVEREIGN||2|0.7|2,500,000|0|25-75%
REPUBLIC OF INDONESIA|SOVEREIGN|Y|9|8.0|175,000,000|25|75-95%
REPUBLIC OF ITALY|SOVEREIGN||9|6.7|775,000,000|30|> 95%
REPUBLIC OF KAZAKHSTAN|SOVEREIGN||1|0.3|2,500,000|0|75-95%
REPUBLIC OF KOREA|SOVEREIGN|Y|9|6.0|175,000,000|14|> 95%
REPUBLIC OF LATVIA|SOVEREIGN||1|0.3|2,500,000|0|< 5%
REPUBLIC OF LITHUANIA|SOVEREIGN||2|0.7|2,500,000|0|< 5%
REPUBLIC OF PANAMA|SOVEREIGN|Y|5|3.0|22,500,000|8|75-95%
REPUBLIC OF PERU|SOVEREIGN|Y|9|6.3|75,000,000|21|75-95%
REPUBLIC OF POLAND|SOVEREIGN|Y|4|2.3|7,500,000|2|75-95%
REPUBLIC OF SERBIA|SOVEREIGN||1|0.3|2,500,000|0|> 95%
REPUBLIC OF SOUTH AFRICA|SOVEREIGN|Y|9|8.3|375,000,000|63|75-95%
REPUBLIC OF THE PHILIPPINES|SOVEREIGN|Y|7|4.3|75,000,000|10|75-95%
REPUBLIC OF TURKEY|SOVEREIGN|Y|10|8.3|450,000,000|82|75-95%
REXEL|EUROPE|Y|2|1.0|5,000,000|3|75-95%
REYNOLDS AMERICAN INC.|AMERICAS|Y|0|0.0|2,500,000|0|5-25%
RICOH COMPANY, LTD.|JAPAN||3|1.0|2,500,000|0|> 95%
RIO TINTO LIMITED|AUSTRALIA NZ||1|0.3|2,500,000|0|> 95%
RITE AID CORPORATION|AMERICAS|Y|2|1.3|7,500,000|3|< 5%
ROCHE HOLDINGS, INC.|EUROPE||1|0.3|2,500,000|0|> 95%
ROLLS-ROYCE PLC|EUROPE||6|4.0|125,000,000|18|75-95%
ROMANIA|SOVEREIGN|Y|3|1.7|2,500,000|0|25-75%
ROYAL CARIBBEAN CRUISES LTD.|AMERICAS|Y|5|2.7|50,000,000|11|< 5%
R.R. DONNELLEY & SONS COMPANY|AMERICAS|Y|3|1.3|5,000,000|2|< 5%
RYDER SYSTEM, INC.|AMERICAS|Y|2|0.7|10,000,000|2|< 5%
SABRE HOLDINGS CORPORATION|AMERICAS|Y|5|2.0|2,500,000|2|< 5%
SAFEHOLD INC.|AMERICAS||4|3.0|5,000,000|1|5-25%
SAFEWAY INC.|AMERICAS|Y|2|1.3|2,500,000|1|< 5%
SAIPEM FINANCE INTERNATIONAL B.V.|EUROPE||1|0.7|10,000,000|3|75-95%
SANMINA CORPORATION|AMERICAS|Y|3|1.0|2,500,000|0|< 5%
SANOFI|EUROPE|Y|6|2.0|75,000,000|8|> 95%
SAPPI PAPIER HOLDING GMBH|EUROPE||2|0.7|2,500,000|0|> 95%
SASOL LTD|EUROPE||3|1.0|2,500,000|0|> 95%
SCENTRE MANAGEMENT LIMITED AS RESPONSIBLE ENTITY OF SCENTRE GROUP TRUST 1|AUSTRALIA NZ||1|0.3|2,500,000|0|> 95%
SCHAEFFLER AG|EUROPE|Y|1|0.3|5,000,000|1|75-95%
SCHAEFFLER FINANCE B.V.|EUROPE||0|0.0|10,000,000|2|> 95%
SEALED AIR CORPORATION|AMERICAS|Y|2|0.7|7,500,000|2|< 5%
SEMPRA ENERGY|AMERICAS|Y|8|3.0|15,000,000|3|< 5%
SERVICE PROPERTIES TRUST|AMERICAS|Y|5|3.3|2,500,000|1|< 5%
SES|EUROPE|Y|7|3.3|22,500,000|6|75-95%
SHELL PLC|EUROPE|Y|7|3.0|50,000,000|3|75-95%
SHIMIZU CORPORATION|JAPAN||3|1.3|2,500,000|0|> 95%
SIEMENS AKTIENGESELLSCHAFT|EUROPE||4|1.7|100,000,000|8|> 95%
SIMON PROPERTY GROUP, L.P.|AMERICAS|Y|7|3.3|10,000,000|3|< 5%
SINGAPORE AIRLINES LIMITED|ASIA EX-JAPAN||1|0.3|2,500,000|0|> 95%
SINGAPORE TELECOMMUNICATIONS LIMITED|ASIA EX-JAPAN||6|3.0|2,500,000|0|> 95%
SIRIUS XM RADIO INC.|AMERICAS|Y|2|0.7|2,500,000|1|< 5%
SKANDINAVISKA ENSKILDA BANKEN AB|EUROPE||3|1.0|2,500,000|0|> 95%
SK HYNIX INC.|ASIA EX-JAPAN||5|2.7|7,500,000|1|> 95%
SK TELECOM CO., LTD.|ASIA EX-JAPAN||3|1.0|2,500,000|0|> 95%
SKY LIMITED|EUROPE||6|2.7|7,500,000|1|> 95%
SMURFIT KAPPA ACQUISITIONS UNLIMITED COMPANY|EUROPE||5|2.0|10,000,000|3|75-95%
SOCIALIST REPUBLIC OF VIETNAM|SOVEREIGN|Y|3|1.0|2,500,000|0|> 95%
SOCIETE GENERALE|EUROPE|Y|8|7.3|75,000,000|12|75-95%
SODEXO|EUROPE|Y|5|1.7|10,000,000|2|75-95%
SOFTBANK GROUP CORP.|JAPAN||10|7.3|20,000,000|5|25-75%
SOLVAY|EUROPE||5|2.3|20,000,000|3|25-75%
SONY GROUP CORPORATION|JAPAN||4|1.3|2,500,000|0|> 95%
SOUTHWEST AIRLINES CO.|AMERICAS|Y|5|3.3|10,000,000|3|< 5%
SPRINT COMMUNICATIONS LLC|AMERICAS||0|0.0|2,500,000|0|< 5%
SSE PLC|EUROPE|Y|2|0.7|7,500,000|2|25-75%
STANDARD BUILDING SOLUTIONS INC.|AMERICAS|Y|4|2.7|2,500,000|0|< 5%
STANDARD CHARTERED BANK|EUROPE||2|0.7|15,000,000|4|75-95%
STANDARD CHARTERED PLC|EUROPE|Y|11|8.0|100,000,000|13|75-95%
STAPLES, INC.|AMERICAS|Y|3|2.0|10,000,000|4|< 5%
STATE BANK OF INDIA|ASIA EX-JAPAN|Y|7|3.3|12,500,000|2|75-95%
STATE GRID CORPORATION OF CHINA|ASIA EX-JAPAN||4|2.0|2,500,000|0|> 95%
STATE OF CALIFORNIA|AMERICAS||1|0.3|2,500,000|0|< 5%
STATE OF ILLINOIS|AMERICAS||0|0.0|2,500,000|0|< 5%
STATE OF ISRAEL|SOVEREIGN|Y|4|1.3|5,000,000|0|75-95%
STATE OF NEW JERSEY|AMERICAS||1|0.3|2,500,000|0|< 5%
STATE OF QATAR|SOVEREIGN|Y|4|2.3|25,000,000|3|75-95%
STELLANTIS N.V.|EUROPE||10|6.7|125,000,000|18|75-95%
STENA AKTIEBOLAG|EUROPE|Y|1|0.3|22,500,000|5|75-95%
STMICROELECTRONICS N.V.|EUROPE||2|1.0|7,500,000|2|> 95%
STONEGATE PUB COMPANY FINANCING LIMITED|EUROPE||9|5.0|12,500,000|3|25-75%
STORA ENSO OYJ|EUROPE||6|2.3|17,500,000|4|75-95%
SUEDZUCKER AG|EUROPE|Y|2|1.3|50,000,000|8|> 95%
SULTANATE OF OMAN|SOVEREIGN|Y|5|2.0|7,500,000|1|75-95%
SUMITOMO CHEMICAL COMPANY, LIMITED|JAPAN||6|2.0|2,500,000|0|> 95%
SUMITOMO CORPORATION|JAPAN||6|3.0|2,500,000|1|75-95%
SUMITOMO MITSUI BANKING CORPORATION|JAPAN||1|0.3|2,500,000|0|> 95%
SUMITOMO REALTY & DEVELOPMENT CO., LTD.|JAPAN||6|2.7|2,500,000|1|75-95%
SUN HUNG KAI PROPERTIES LIMITED|ASIA EX-JAPAN||8|3.7|2,500,000|0|75-95%
SUNRISE COMMUNICATIONS HOLDINGS S.A.|EUROPE||1|0.3|2,500,000|0|> 95%
SVENSKA HANDELSBANKEN AB|EUROPE|Y|3|1.3|2,500,000|0|> 95%
SWEDBANK AB|EUROPE||2|1.0|2,500,000|0|25-75%
SWIRE PACIFIC LIMITED|ASIA EX-JAPAN||4|2.0|2,500,000|0|75-95%
SWISS REINSURANCE COMPANY LTD|EUROPE||7|5.0|75,000,000|7|75-95%
SYNGENTA AG|EUROPE|Y|1|0.7|10,000,000|2|75-95%
SYNLAB UNSECURED BONDCO PLC|EUROPE||2|0.7|2,500,000|0|> 95%
TAKEDA PHARMACEUTICAL COMPANY LIMITED|JAPAN||7|3.0|5,000,000|1|75-95%
TARGA RESOURCES PARTNERS LP|AMERICAS|Y|5|2.0|5,000,000|2|< 5%
TARGET CORPORATION|AMERICAS|Y|4|1.3|7,500,000|3|< 5%
TATE & LYLE PUBLIC LIMITED COMPANY|EUROPE||2|0.7|7,500,000|2|> 95%
TDC HOLDING A/S|EUROPE||3|1.0|2,500,000|0|> 95%
TECHNIPFMC PLC|EUROPE|Y|3|1.0|2,500,000|0|> 95%
TECK RESOURCES LIMITED|AMERICAS|Y|5|2.7|17,500,000|5|< 5%
TEGNA INC.|AMERICAS|Y|2|0.7|2,500,000|1|< 5%
TELECOM ITALIA SPA|EUROPE|Y|7|4.3|50,000,000|9|75-95%
TELEFONAKTIEBOLAGET L M ERICSSON|EUROPE||7|3.7|7,500,000|2|75-95%
TELEFONICA, S.A.|EUROPE||6|3.3|50,000,000|7|75-95%
TELEKOM AUSTRIA AKTIENGESELLSCHAFT|EUROPE||3|1.0|12,500,000|3|25-75%
TELEKOM MALAYSIA BERHAD|ASIA EX-JAPAN||2|0.7|2,500,000|0|75-95%
TELENOR ASA|EUROPE|Y|4|1.3|7,500,000|2|25-75%
TELIA COMPANY AB|EUROPE||3|1.0|12,500,000|2|75-95%
TELSTRA CORPORATION LIMITED|AUSTRALIA NZ||1|0.3|2,500,000|0|> 95%
TEMASEK HOLDINGS (PRIVATE) LIMITED|ASIA EX-JAPAN||2|1.3|2,500,000|0|> 95%
TENCENT HOLDINGS LIMITED|ASIA EX-JAPAN||5|2.0|2,500,000|1|> 95%
TENET HEALTHCARE CORPORATION|AMERICAS|Y|4|2.0|15,000,000|7|< 5%
TEOLLISUUDEN VOIMA OYJ|EUROPE||1|0.3|2,500,000|0|> 95%
TESCO PLC|EUROPE|Y|9|6.0|50,000,000|6|75-95%
